Formula,Formation Energy (eV/fu),Formation Energy (eV/atom),DFT Energy (eV/atom),DFT Energy (eV/fu),DFT Energy (eV),k-points,Cs,Sn,Br,H,O,Cl,Ti,I
Cs2SnBr6,-12.784507527586204,-1.420500836398467,-3.8668539155555552,-34.80168524,-34.80168524,3x3x3,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Br,0.0,0.0,-2.505645065,-2.505645065,-10.02258026,6x6x3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cl2,0.0,0.0,-2.655503765,-5.31100753,-5.31100753,1x1x1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cs,0.0,0.0,-1.0485996862068965,-1.0485996862068965,-30.4093909,4x4x4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2,0.0,0.0,-3.905740315,-7.81148063,-7.81148063,1x1x1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
I,0.0,0.0,-2.37863731,-2.37863731,-9.51454924,5x5x2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
O2,0.0,0.0,-7.02013651,-14.04027302,-14.04027302,1x1x1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Sn,0.0,0.0,-4.88610795,-4.88610795,-9.7722159,10x10x10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ti,0.0,0.0,-10.151714933333333,-10.151714933333333,-30.4551448,6x6x9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ClO2,0.7096600150000003,0.23655333833333345,-5.32870559,-15.98611677,-127.88893416,3x2x2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Cs2O,-3.15938636091954,-1.05312878697318,-4.092240747777778,-12.276722243333333,-36.83016673,6x6x1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CsBr,-3.9859229587931044,-1.9929614793965522,-3.770083855,-7.54016771,-7.54016771,4x4x4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CsBr3,-4.273783741293103,-1.0684459353232758,-3.209829655625,-12.8393186225,-51.35727449,3x3x3,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CsCl,-4.432881008793103,-2.2164405043965516,-4.06849223,-8.13698446,-8.13698446,4x4x4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CsI,-3.4757193637931043,-1.7378596818965522,-3.45147818,-6.90295636,-6.90295636,5x5x5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CsI3,-3.680982218793105,-0.9202455546982763,-2.96637345875,-11.865493835,-47.46197534,2x2x2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
CsI4,-3.7229461212931043,-0.7445892242586208,-2.8572190095,-14.2860950475,-57.14438019,2x2x1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
H2O,-2.6916064299999984,-0.8972021433333328,-5.841074523333333,-17.52322357,-17.52322357,1x1x1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
HBr,-0.27320103999999956,-0.13660051999999978,-3.34229321,-6.68458642,-6.68458642,1x1x1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HCl,-0.9734486099999997,-0.48672430499999986,-3.767346345,-7.53469269,-7.53469269,1x1x1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
HI,0.3515555049999999,0.17577775249999994,-2.96641106,-5.93282212,-5.93282212,1x1x1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
I2O5,-1.0436959499999974,-0.14909942142857105,-5.843093302857143,-40.90165312,-163.60661248,3x5x3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
I2O5,-1.0436959499999974,-0.14909942142857105,-5.843093302857143,-40.90165312,-163.60661248,3x5x3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
SnBr2,-2.329004039999999,-0.7763346799999997,-4.075467373333333,-12.22640212,-12.22640212,3x3x2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
SnBr4,-3.7090816324999993,-0.7418163264999998,-3.7235539685,-18.6177698425,-74.47107937,2x2x1,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
