,Defect,Charge,Formation Energy (eV),Concentration (cm^-3),Charge State Population,Total Concentration (cm^-3),Fermi Level,Electrons (cm^-3),Holes (cm^-3),Annealing Temperature,Quenched Temperature
0,Cd_Te,2,1.658,2.0001591862243107e-06,100.0%,2.000394949736482e-06,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
1,Cd_Te,1,1.956,2.357634916219425e-10,0.0%,2.000394949736482e-06,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
2,Cd_Te,0,2.376,2.0549569896072102e-17,0.0%,2.000394949736482e-06,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
3,Cd_Te,-1,3.464,1.866403971150438e-36,0.0%,2.000394949736482e-06,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
4,Cd_Te,-2,4.583,3.54847759391891e-54,0.0%,2.000394949736482e-06,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
5,Cd_i_Td_Cd2.83,2,1.488,0.0014102336739073044,91.6%,0.0015387426219543219,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
6,Cd_i_Td_Cd2.83,1,1.568,0.00012850894803835436,8.4%,0.0015387426219543219,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
7,Cd_i_Td_Cd2.83,0,2.156,8.663162753307069e-15,0.0%,0.0015387426219543219,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
8,Cd_i_Td_Te2.83,2,1.005,184681.6959425906,100.0%,184681.6959698842,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
9,Cd_i_Td_Te2.83,1,1.608,2.7293587478905927e-05,0.0%,184681.6959698842,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
10,Cd_i_Td_Te2.83,0,2.471,4.399484107021732e-20,0.0%,184681.6959698842,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
11,Te_Cd,2,5.179,1.398287929700786e-65,0.0%,1.5881141968561373e-44,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
12,Te_Cd,1,4.449,2.0574249986198825e-52,0.0%,1.5881141968561373e-44,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
13,Te_Cd,0,3.962,1.5881141762804007e-44,100.0%,1.5881141968561373e-44,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
14,Te_Cd,-1,4.724,1.4866244675406754e-56,0.0%,1.5881141968561373e-44,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
15,Te_Cd,-2,5.42,1.544135354864386e-68,0.0%,1.5881141968561373e-44,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
16,Te_i_Td_Te2.83,2,4.343,1.8742604680132637e-50,0.0%,1.4934977623512708e-29,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
17,Te_i_Td_Te2.83,1,3.614,3.363207612882632e-38,0.0%,1.4934977623512708e-29,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
18,Te_i_Td_Te2.83,0,3.099,1.493497758988063e-29,100.0%,1.4934977623512708e-29,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
19,Te_i_Td_Te2.83,-1,4.948,2.5604084736507585e-60,0.0%,1.4934977623512708e-29,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
20,Te_i_Td_Te2.83,-2,7.32,1.8470318264168186e-100,0.0%,1.4934977623512708e-29,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
21,v_Cd,0,3.15,1.0413873707143475e-30,0.0%,1.3642421362780286e-21,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
22,v_Cd,-1,2.928,7.378891670380266e-27,0.0%,1.3642421362780286e-21,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
23,v_Cd,-2,2.561,1.3642347563449707e-21,100.0%,1.3642421362780286e-21,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
24,v_Te,2,1.174,274.90691321090196,100.0%,274.9069132940784,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
25,v_Te,1,2.098,1.614351365380675e-13,0.0%,274.9069132940784,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
26,v_Te,0,1.787,8.317628141906802e-08,0.0%,274.9069132940784,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
